Name,Street,Address,Phone,Email,Website
"Benchmark Land Company, LLC",5323 Perimeter Pkwy Ct,"Montgomery, AL 36116-5125",334-657-6210,benchmarkland@bellsouth.net,
River Bank & Trust,7075 Halcyon Park Dr,"Montgomery, AL 36117-7763",334-290-2681,sstringer@riverbankandtrust.com,
"Lucretia Cauthen Realty, LLC",PO Box 607,"Millbrook, AL 36054-0012",334-285-2310,ccauthenwd@aol.com,
"Trinity Real Estate Group, LLC",12575 Wares Ferry Road,"Montgomery, AL 36117-5523",334-551-1000,MaryCharlesRampy@aol.com,
"Commercial Valuation Services, Inc.",2140 11th Avenue Suite 208,"Birmingham, AL 35205-2840",205-918-2000,kholcomb@cvsappraisals.com,
Morris V.I.P. Realty,"5947 Carmichael Road, Suite 1","Montgomery, AL 36117-2559",334-244-9000,MORRIS.VIP.REALTY@ATT.NET,alamls.com/morrisviprealty
RE/MAX PREMIER,101 Legacy Drive,"ENTERPRISE, Al 36330-3633",(334) 393-0205,becky@realtor.com,
Dabwood LLC.,1430 I-85 Parkway Suite 210,"Montgomery, AL 36106-3685",334-386-3822,RSheldonlaw@gmail.com,
Hampstead Community Realty LLC,5251 Hampstead High St. # 205,"Montgomery, AL 36116-6758",334-270-6730,fsparkman@colonial-company.com,
"Kelly Realty, LLC.",2477 East South Blvd.,"Montgomery, AL 36116-1023",601-594-3594,jeremykelly6@gmail.com,www.krmontgomeryhomes.com
HomeStory Real Estate Services,10657 Essex Square Boulevard,"Fort Myers, FL 33913",512-524-9335,lroberts@homestory.co,
Stinson Appraisal Services,13 Plantation Way,"Deatsville, AL 36022",334-538-8449,stinsonappraiserservices@yahoo.com,
Securance Realty,"7051 Fain Park Dr, Suite 200","Montgomery, AL 36117-7807",334-268-3071,securancerealty@gmail.com,
"HomeStop Realty, LLC.","4252 Carmichael Road, Ste 224","Montgomery, AL 36106-2804",334-233-3254,isellhomes334@gmail.com,
River Bank & Trust,7075 Halcyon Park Dr,"Montgomery, AL 36117-7763",334-290-2681,sstringer@riverbankandtrust.com,
"Davis & Copeland REALTORS, LLC.",2815-A Zelda Road,"Montgomery, AL 36106-2727",334-244-0550,beth@davisandcopeland.com,
Barrs Appraisal Services,2800 Zelda Rd. Suite 100-9,"Montgomery, AL 36106-2685",334-215-4377,mbarrs@knology.net,
CENTURY 21 REGENCY REALTY,,,(334) 347-0048,,
eList Realty Alabama LLC,15932 Parkside Dr.,"Parker, CO 80134-3741",205-379-0475,steven.hayden@elistrealty.com,
"River Region Appraisals, LLC",PO Box 182,"Wetumpka, AL 36092",334-399-8250,bbautrey@aol.com,
"Hal F Leary Home Inspect., LLC",639 Oliver Road,"Montgomery, AL 36117-2244",334-270-8899,hallearyhomeinspector@gmail.com,
Realty Central,5300 Oak Tree Road Suite H,"Millbrook, AL 36054-2219",334-285-4646,betsy@realtycentralalabama.com,
WIREGRASS BOARD OF REALTORS,,,(334) 347-9614,info@wiregrassboardofrealtors.com,
Town & Country Real Estate Of Selma,890 Ravenwood Dr.,"Selma, AL 36701-6705",334-872-1122,mikebruner@selmahomes.net,
"Douglas F Hixon, Appraiser",1785 Taliaferro Trail,"Montgomery, AL 36117-7758",334-215-0388,dfhixon@bellsouth.net,
"Lucretia Cauthen Realty, LLC",PO Box 607,"Millbrook, AL 36054-0012",334-285-2310,ccauthenwd@aol.com,
Home Check Consultants,P.O. Box 210553,"Montgomery, AL 36121-0553",334-300-1035,homecheckconsultants@gmail.com,homecheckpro.net
"Trinity Real Estate Group, LLC",12575 Wares Ferry Road,"Montgomery, AL 36117-5523",334-551-1000,MaryCharlesRampy@aol.com,
COURSON APPRAISALS,,,(334) 504-0279,coursonappraisals@gmail.com,
Property Services,P O Box 2452,"Selma, AL 36702-2452",334-874-6600,nrbps@bellsouth.net,
Amerisell Realty,210 W. Tuscaloosa St.,"Florence, AL 35630-5428",256-627-7168,amerisell.realty@gmail.com,www.mls449.com
Scarborough & Associates,1322 Old Oak Place,"Montgomery, AL 36117-6880",334-323-1142,marriess613@aol.com,
Lowder New Homes Sales Inc,5772 Hampstead High St # 200,"Montgomery, AL 36116-6755",334-270-6789,jrutland@lowdernewhomes.com,lowdernewhomes.com
River Bank & Trust,7075 Halcyon Park Dr,"Montgomery, AL 36117-7763",334-290-2681,sstringer@riverbankandtrust.com,
House & Home Real Estate,2857 Zelda Rd.,"Montgomery, AL 36106-2614",334-230-5777,carol@HouseValuesInMontgomery.com,houseandhome.house
"Montgomery Inspection, LLC.",7218 Timbermill Dr.,"Montgomery, AL 36117-5190",334-531-9664,paul@montgomeryinspection.com,montgomeryinspection.com
Atlas Appraisal Service,209 Doster Street,"Prattville, AL 36067",334-303-1419,appraiser@knology.net,
MARDEN LLC,,"DOTHAN, Al 36305-3630",(334) 714-5034,JMARDEN@GRACEBA.NET,WWW.MARDENAPPRAISALS.COM
Xome Inc.,3040 Independence Drirve,"Birmingham, AL 35226-4157",205-823-7058,brian@reo-group.net,
The Appraiser Group LLP,P.O. Box 208,"Troy, AL 36081",334-268-2255,kellie@TheAppraiserGroup.com,
"Flores International Rlty, llc.",8650 Minnie Brown Road,"Montgomery, AL 36117-7433",334-202-4806,flores@floresrealtor.com,floresinternationalrealty.com
COURSON APPRAISALS,,,(334) 504-0279,coursonappraisals@gmail.com,
"Best Move Realty, LLC.",5771 Carmichael Parkway,"Montgomery, AL 36117-2343",334-414-3572,ollyet@bestmoverealty.net,
"Nicole Sloan Realty, LLC.",2770 Bell Rd. Suite 7,"Montgomery, AL 36117-6890",334-356-4288,nsloan@nicolesloanrealty.com,
Cadence Bank,6836 Atlanta Hwy,"Montgomery, AL 36117-4212",334-213-2636,connie.marie.arthur@cadencebank.com,
Cornerstone Realty LLC,519 Lauderdale St,"Selma, AL 36701-4528",334-872-0441,jewellw@zebra.net,
Country Financial,7020 Vaughn Road,"Montgomery, AL 36116-1370",334-271-1933,bryan.decapite@countryfinancial.com,countryfinancial.com/bryan.decapite
EXIT Realty Pros,3501 Sandy Oaks Drive,"Saraland, AL 36571-8725",251-679-0006,sheronatwell@aol.com,
REMAX Cornerstone Realty,10406 Hwy. 231,"Wetumpka, AL 36092-5366",334-478-3825,chadbarrett1@yahoo.com,
MARK BOOTHE APPRAISALS,,,(334) 493-1040,bootheandassociates@gmail.com,
"Residential Property Grp, LLC.",PO Box 210999,"Montgomery, AL 36121-0999",334-481-0116,jason@rpg-realty.com,
FlatFee.com,5830 Sheridan Street,"Hollywood, FL 33021-3253",954-965-3990,info@flatfee.com,
Gordy Appraisal Services,768 Ingram Road,"Elmore, AL 36025-1151",334-517-4385,gordyappraisals@gmail.com,
Cadence Bank,6836 Atlanta Hwy,"Montgomery, AL 36117-4212",334-213-2636,connie.marie.arthur@cadencebank.com,
D.R. Horton Homes - Birmingham,2188 Parkway Lake Dr. Ste 200,"Hoover``, AL 35244-1803",334-409-6984,snulph@drhorton.com,
I Shoot Houses,1020 Smith Mountain Drive,"Jacksons Gap, AL 36861-2598",334-320-7486,sherry@go2REassistant.com,
"Harvill Realty Group, LLC",5251 Hampstead High St Suite 2,"Montgomery, AL 36117-6744",334-270-9600,larry@harvillrealtygroup.com,
Property Services,P O Box 2452,"Selma, AL 36702-2452",334-874-6600,nrbps@bellsouth.net,
Xome Inc.,3040 Independence Drirve,"Birmingham, AL 35226-4157",205-823-7058,brian@reo-group.net,
Tri-County Homes,884 Lagoon Commercial Blvd,"Montgomery, AL 36117-2205",334-221-1149,tricounty@publicationspress.com,www.tri-countyhomesonline.com
Government Agencies,4280 Carmichael,"Montgomery, AL 36106",334-396-0256,brad.owen@montgomeryareahomes.com,
"Bell & Corwin, Inc.",PO Box 11731,"Montgomery, AL 36111-0731",334-279-0220,sammy@bellandcorwin.com,
"Residential Alabama, LLC.",4201 Nordale Dr.,"Montgomery, AL 36116-2300",334-424-3100,towannahsmith@gmail.com,
The Law Offices of Troy King,7065 Fain Park Drive Suite 203,"Montgomery, AL 36117-7864",334-215-4440,jw@troykinglaw.com,
"S & R Home Inspections, LLC",2010 County Rd. 85,"Prattville, AL 36066-6732",334-799-4235,srinspections@gmail.com,
"Lake Breeze Montgomery, LLC.",8411 Kowaliga Rd.,"Eclectic, AL 36024-3751",334-857-2141,shelbypitts2@gmail.com,
Tuskegee Realty,PO BOX 830704,"Tuskegee, AL 36083-0704",334-727-1107,jkbiswas@aol.com,
"Best Move Realty, LLC.",5771 Carmichael Parkway,"Montgomery, AL 36117-2343",334-414-3572,ollyet@bestmoverealty.net,
"eXp Realty, LLC. - Southern Branch",5027 Mercer Street Suite 104,"Montgomery, AL 36117-6784",888-923-5547,al.broker@exprealty.com,
Katherine Tew Realty,584 County Road 64,"Deatsville, AL 36022-3379",334-569-2080,KTewRealty@gmail.com,
Stinson Appraisal Services,13 Plantation Way,"Deatsville, AL 36022",334-538-8449,stinsonappraiserservices@yahoo.com,
JOHNSON REALTY,,,(334) 897-5300,TIMJ63@AOL.COM,
"Beringer Realty, LLC",2800 Zelda Rd Ste 100-6,"Montgomery, AL 36106-2685",334-260-8866,arb44@aol.com,
"Commercial Valuation Services, Inc.",2140 11th Avenue Suite 208,"Birmingham, AL 35205-2840",205-918-2000,kholcomb@cvsappraisals.com,
"Bell & Corwin, Inc.",PO Box 11731,"Montgomery, AL 36111-0731",334-279-0220,sammy@bellandcorwin.com,
Bees Realty,P.O. Box 210804,"Montgomery, AL 36121-0804",334-220-4628,bepade3@aol.com,
Eastern Shore Real Estate & Rentals,25421 State Hwy 181,"Daphne, AL 36526",205-533-4205,itslettuce@gmail.com,
Sanford and Associates,1544 Ann St.,"Montgomery, AL 36107-3114",334-221-3557,dsanford5@yahoo.com,
SOUTHEAST APPRAISAL SERVICE,,,(334) 393-5425,,
WIREGRASS BOARD OF REALTORS,,,(334) 347-9614,info@wiregrassboardofrealtors.com,
River Region Realty Group LLC,"445 Dexter Ave., Suite 4050","Montgomery, AL 36104-3867",334-557-7060,treysippial@gmail.com,http://www.riverregionrealtygroup.com
Campbell & Company,19057 Montgomery Hwy,"Highland Home, AL 36041",334-207-8189,gregcampbell@mon-cre.net,
"HomeLight, Inc.",100 Chesterfield Business Pkwy,"Chesterfield,, MO 63005-1271",480-900-7282,mls@homelight.com,
Sandra Nickel Hat Team REALTOR,1044 E Fairview Ave,"Montgomery, AL 36106-2145",334-834-1500,sandra@HatTeam.com,
A K Appraisals,249 Shell Road,"Georgiana, AL 36033-5006",334-437-1802,melissa_brogden@yahoo.com,
"Legacy Properties, LLC",2901 Citizens Parkway,"Selma, AL 36701-3916",334-874-9346,lhicks@legacypropertiesselma.com,
"Thomas & Land Real Estate Group, LLC.",744 S. Memorial Dr.,"Prattville, AL 36067-5712",334-356-6310,mland.realtor@gmail.com,
Howard W. Haynie & Assoc. Inc.,201 Eagle Ridge,"Alexander City, AL 35010-9243",334-312-0693,howard@homeonlakemartin.com,
Realty Connection,2066 Fairview Avenue,"Prattville, AL 36066-5241",334-491-0049,ahomewithrobin@yahoo.com,www.ahomewithrobin.com
Riverview Real Estate,140 Orline Street,"Wetumpka, AL 36092-2705",334-462-5263,robinsonrealtor@msn.com,
Knox Pest Control,1570 North Eastern Blvd.,"Montgomery, AL 36117-2225",334-213-0410,jamessmith@knoxpest.com,
WILLIAMSON APPRAISAL,706 E PARK AVE,"OPP, Al 36467-3646",(334) 493-0049,cwappraisal@oppcatv.com,
Country Financial,7020 Vaughn Road,"Montgomery, AL 36116-1370",334-271-1933,bryan.decapite@countryfinancial.com,countryfinancial.com/bryan.decapite
Goodson Appraisal Service,476 Weatherby Trl,"Prattville, AL 36067-3857",256-825-8038,srvcs_w@bellsouth.net,
Pete Prescott Realty,209 Cashion Ave,"Wetumpka, AL 36092-0018",334-850-8222,pete806@bellsouth.net,
"JAMES BOWMAN REALTY, INC.",,,(334) 794-7211,PAM@DOTHANFORSALE.COM,
EXIT Realty Partners,1345 Carmichael Way,"Montgomery, AL 36106-3629",334-356-7575,bernicehenderson.exit@yahoo.com,
The Appraiser Group LLP,P.O. Box 208,"Troy, AL 36081",334-268-2255,kellie@TheAppraiserGroup.com,
"HomeStop Realty, LLC.","4252 Carmichael Road, Ste 224","Montgomery, AL 36106-2804",334-233-3254,isellhomes334@gmail.com,
Dogwood Realty,3769 Hwy 14,"Millbrook, AL 36054-1942",334-285-9090,dogwoodrealty@msn.com,
First South Farm Credit,PO Box 31123,"Enterprise, AL 36331",334-774-2668,rkyles@firstsouthland.com,
Storing Up Treasures Realty,103 N. Powell Street,"Union Springs, AL 36089-1624",334-738-3524,sharrisebaltimore@yahoo.com,
Chris Dixon & Associates Inc,"101 Market Place, Suite 600","Montgomery, AL 36117-4912",334-271-3472,chris@dixonappraisal.com,
Alabama Gas Corporation,2951 Chestnut Street,"Montgomery, AL 36107-3009",334-241-4230,caroline.davis@energen.com,
"Montgomery Inspection, LLC.",7218 Timbermill Dr.,"Montgomery, AL 36117-5190",334-531-9664,paul@montgomeryinspection.com,montgomeryinspection.com
D.R. Horton Homes - Birmingham,2188 Parkway Lake Dr. Ste 200,"Hoover``, AL 35244-1803",334-409-6984,snulph@drhorton.com,
"Ami Mckinney Appraisals, LLC.",P.O. Box 231656,"Montgomery, AL 36123",334-220-2453,amimckinney@gmail.com,
Clark Realty,3820 Harrison Road,"Montgomery, AL 36109-4508",334-590-4450,johnyclark@att.net,
The Goodson Group,1975 Berry Chase Pl.,"Montgomery, AL 36117-6894",334-551-0225,bogoodson@charter.net,
Cook & Associates Attorneys at Law,4142 Carmichael Rd.,"Montgomery, AL 36106-2936",334-356-7879,swan.johnson@blackbeltlawyers.com,www.blackbeltlawyers.com
"Builder New Homes, Inc.",240 Peace Church Road,"Wetumpka, AL 36093-3869",334-567-7171,buildernewhomes@elmore.rr.com,
"Montgomery Inspection, LLC.",7218 Timbermill Dr.,"Montgomery, AL 36117-5190",334-531-9664,paul@montgomeryinspection.com,montgomeryinspection.com
