Name,Street,Locality,Region,Postal_Code,Phone,Fax,Email
All Four Real Estate Greater B'ham,803 So. Airport Road,Jasper,AL,35501,205-384-1287,205-384-1939,gabrasher@aol.com
Alldredge Realty LLC,780 Cobb Road,Munford,AL,36268,256-225-5715,256-831-3120,kalldredge15@gmail.com
All Access Real Estate,3100 Lorna Road Suite 305,Birmingham,AL,35216,205-979-7004,205-324-0096,cwparnel@bellsouth.net
AlaHomes Realty,112 Court Square South,Talladega,AL,35160,256-368-9008,760-462-2080,Sales@alahomes.com
Alabama Worldwide Properties,2806 Ruffner Road Suite 105,Irondale,AL,35210,205-862-3381,,regalrealtyllc@gmail.com
Century 21 Harris McKay,"123 S. Quintard Avenue, P.O. Box 2550",Anniston,AL,36202,256-236-0377,256-236-0432,keith@harrismckay.com
"Alabama Realty Experts, LLC",4710 Jug Factory Lane,Tuscaloosa,AL,35405,205-523-8300,205-614-5310,cpclarkrealtor@aol.com
Bone Realty Co. LLC,1411 Rainbow Drive Ste 2,Gadsden,AL,35901,256-546-5543,256-546-5513,john@bone-realty.com
Bob Watkins Realty,1927 Courson Court,Leeds,AL,35094,205-352-3322,,cowboy77@bellsouth.net
Blue Sky Real Estate,"2013 Kentucky Ave, Suite 205",Birmingham,AL,35216,205-823-2583,,RobinHowellSells@aol.com
"All Four Real Estate, Inc.",803 S. Airport Road,Jasper,AL,35501,205-384-1113,205-384-1939,joey@thehomeplaceinc.com
BLUEROOF,12215 S 900 E Ste A,draper,UT,84020,888-850-4867,,mclane@blueroof360.com
Blue House Realty,14203 US Hwy 411,Odenville,AL,35120,205-901-2583,,jturney@bluehousesells.com
Blue Appraisal,"3985 Parkwood Rd., Ste 109-334",Bessemer,AL,35022,205-903-1447,205-230-0090,info@blueappraisal.com
Blue Dot Real Estate LLC,1 Chase Corporate Drive #400,Birmingham,AL,35244,205-210-4407,206-866-1224,support@bluedotrealestate.com
"Blount Realty Team, Inc.",997 2nd Avenue E,Oneonta,AL,35121,205-274-7707,205-274-2720,bpuckett@otelco.net
Brik Realty - Hoover,"100 Concourse Parkway, Ste. 16",Hoover,AL,35244,205-206-4321,,brianbentley@brikrealty.com
Brik Realty,2901 2nd Ave S Ste 230,Birmingham,AL,35233,205-206-4321,205-206-4320,patlynch@brikrealty.com
Brogdon Properties,1500 Resource Drive,Birmingham,AL,35242,205-999-5939,205-991-6594,kfilyaw@brogdonproperties.com
Briko Realty Services AL LLC,"2700 Corporate Drive, Suite 200",Birmingham,AL,35242,205-236-8054,205-236-8054,david.dobbins@brikorealty.com
"Bradley Realty, LLC",1800 Highway 39,Chelsea,AL,35043,205-965-6263,205-678-7570,kbradleyrealtor@aol.com
Bridge Realty,"2900 Ensley/5 Pts W Ave, Ste B",Birmingham,AL,35208,205-788-7815,205-788-7874,rich9527@bellsouth.net
Bradford Real Estate Group,804 Main St,Montevallo,AL,35115,205-665-5556,205-665-9164,chuckrh71@gmail.com
Boston Logic,"321 Summer Street, Fl 6",Boston,MA,02118,617-266-9166,,mls@bostonlogic.com
Bluff Park Realty,760 Valley Street,Birmingham,AL,35226,205-979-5000,,hal@bluffparkrealty.com
"Bling Realty, LLC",261 U S Highway 11,Trussville,AL,35173,205-452-2595,,3waystosold@gmail.com
"B Plus Real Estate, LLC",1329 Forestdale Blvd Ste 201B,Birmingham,AL,35214,205-798-4585,205-796-9379,beajohns@bellsouth.net
Blackwell Nelson Real Estate,5502 CALDWELL MILL RD No. A,Birmingham,AL,35242,205-637-0281,888-900-6915,katrina@blackwellnelson.com
"Black Diamond Properties, LLC",1024 CO RD 12,Oneonta,AL,35121,205-625-3418,205-625-3418,JenWalkerRealEstate@gmail.com
BJC Real Estate - Cullman,327 2nd Avenue SW,Cullman,AL,35055,256-739-5478,256-739-7019,beckyg@hiwaay.net
BJC Real Estate,1400 Alabama Hwy 69 South,Hanceville,AL,35077,256-287-9140,256-287-9407,jrg@hiwaay.net
"Birmingham Home Search, LLC",4000 Eagle Point Corporate Drive,Birmingham,AL,35242,205-337-3848,,chrisrickey@homesearchbham.com
Billy Isom Realty,1707 Hillyer Robinson Pkwy S,Oxford,AL,36203,256-835-2055,256-835-2275,bisom1@billyisom.com
"Birmingham Real Estate Company, Inc.","1025 23rd Street S., Ste. 238",Birmingham,AL,35205,205-277-1503,,william@williamspells.com
Birmingham Home Leasing,4000 Eagle Point Corporate Dr Ste 240,Birmingham,AL,35242,205-259-1918,,larry.dean@birminghamhomeleasing.com
Billmeier Real Estate,"1008 Montgomery Hwy., Ste. 205",Birmingham,AL,35216,205-822-0404,,joe@joebhomes.com
Buyer's Agent Bradford Realty LLC,400 Office Park Drive,Birmingham,AL,35223,205-380-6305,205-972-8180,donmacd06@yahoo.com
Burr Real Estate,244 Goodwin Crest Drive Ste 117,Birmingham,AL,35209,205-643-6561,,BURRREALESTATE2017@GMAIL.COM
"Butler Realty, LLC",5415 Beacon Dr- Suite 125,Birmingham,AL,35210,205-966-4791,866-929-7863,gregbutler06@gmail.com
Burgess Appraisal,535 Potts Road,Newnan,GA,30263,770-304-9226,,burg587@bellsouth.net
Buck Realty LLC,10203 Holtville Road,Deatsville,AL,36022,334-569-1480,334-460-9991,GinaGBuck@gmail.com
"Brum Advertising, Inc.","2700 Corporate Dr, ste 200",Birmingham,AL,35242,205-447-9871,205-314-4701,alan@brumadverising.com
"Brum Advertising, Inc.","2700 Corporate Dr, ste 200",Birmingham,AL,35242,205-447-9871,205-314-4701,alan@brumadverising.com
Bruce Gordon Real Estate,11208 Alabama Hwy. 157,Moulton,AL,35650,256-974-8200,256-974-5815,bruce@brucegordon.com
Brown Realty,"15 Office Pk. Cir., Ste. 213",Birmingham,AL,35223,205-870-4809,205-870-4810,fletcher@brownbb.com
Brooks Hall Real Estate & Design,9 Office Park Circle,Birmingham,AL,35223,205-903-8052,,daviddutton@brookshall.com
Capps Appraisal Service,249 Riverview Drive,Ashville,AL,35953,256-390-5567,,CappsAppraisal@yahoo.com
Carlisle Realty,4058 Serenity Lane,Birmingham,AL,35214,205-901-4015,,vcarlislerealty@bellsouth.net
"Caribe Realty, Inc.",P O Box 189,Orange Beach,AL,36561,251-980-9040,251-980-9045,sales@cariberesort.com
"Capital Real Estate, LLC","3301 Lorna Road, Ste. 1",Birmingham,AL,35216,205-296-7475,205-978-4546,stevemorgan9980@gmail.com
Capital Real Estate,705 - 27th Avenue,Tuscaloosa,AL,35401,205-342-9888,205-342-9995,info@cretuscaloosa.com
Camellia Homes,24 E 5th ST,Sylacauga,AL,35150,256-245-9810,,dbozeman56@gmail.com
Buy Now Realty,817 Gadsden Highway,Birmingham,AL,35235,205-833-0004,205-838-8008,buynowrealty@bellsouth.net
"Canterbury Realty Group, LLC",4000 Eagle Point Corp. Drive,Birmingham,AL,35242,205-870-3195,205-314-5799,billwaldrip@yahoo.com
Buyers Edge Realty,600 Leighton Ave Ste C,Anniston,AL,36207,256-241-2243,256-237-2036,annie@nlp-usa.com
Bennett Appraisal Service,3476 Tamassee Lane,Birmingham,AL,35226,205-907-0726,,vince.bennett@bellsouth.net
Better Homes,3681 Cahaba Beach Rd,Birmingham,AL,35242,205-266-4424,,BetterHomes.sellsFast@gmail.com
Bell Rice and Slaughter Real Estate Consultants,"1820 3rd Ave North, # 103",Bessemer,AL,35020,205-428-4830,888-232-1149,tobuyseeme@gmail.com
Bear Realty,6242 Old Tuscaloosa Hwy,McCalla,AL,35111,205-344-2327,,ErakasTeam@aol.com
Bean Appraisal Agency,3244 Wisteria Drive,Birmingham,AL,35216,205-979-2574,205-979-2574,beanappraisal@charter.net
"Beacon Realty Group, LLC",2173 Clearbrook Road,Hoover,AL,35226,251-714-3471,,chadmaness1@gmail.com
B & B Realty Group,"315 Gadsden Highway, Suite B",Birmingham,AL,35235,205-208-9981,205-751-2234,SkanesRos@yahoo.com
Barrington Real Estate,1820 Pinson Street,Tarrant,AL,35217,205-841-5593,205-841-5684,brngre@aol.com
"Bailey Realty, LLC",2442 Indian Lake Drive,Birmingham,AL,35244,205-985-8777,205-985-8777,baileyk1c2@bellsouth.net
AW Realty,1007-B 7th Street South,Clanton,AL,35045,205-299-8200,,wrmallinson@yahoo.com
A & W Real Estate,1544 Bessemer Road,Birmingham,AL,35208,205-925-5001,205-925-5085,awspecialty@gmail.com
Avast Realty- Vestavia,700 Montgomery Highway Suite 1,Vestavia,AL,35216,205-807-9190,,beaton@avastrealty.com
4 C's Realty Company,4117 Ruff Road,Pinson,AL,35126,205-681-1412,,woodsonp@bellsouth.net
"Authentic Appraisals, LLC",421 Bridger Avenue,Rock Springs,WY,82901,307-371-1653,,normanps10@gmail.com
3F Home LLC.,9 Office Park Circle No. 215,Birmingham,AL,35223,205-739-2205,,rogersinvestments47@gmail.com
Bell Media,100 Grandview Pl Ste 120,Birmingham,AL,35243,205-985-0253,,accounting@zeekeeinteractive.com
205 Realty,9539 Parkway East,Birmingham,AL,35235,205-441-5966,,info@205realty.com
Avast Realty- Birmingham,3010 6th Ave South,Birmingham,AL,35233,205-951-8992,,katie@avastrealty.com
"3 Elements Realty Group, LLC",324 Commons Drive #25,Birmingham,AL,35209,205-709-8280,,3elementsrealtygroup@gmail.com
1st Real Estate LLC,1625 Gunter Ave,Guntersville,AL,35976,256-302-4166,,ron.hayes21@gmail.com
1st Choice Properties LLC,"2635 Valleydale Road, Ste 200",Birmingham,AL,35244,205-433-9811,205-396-3686,asitton7@gmail.com
1st Choice Properties LLC,"2635 Valleydale Road, Ste 200",Birmingham,AL,35244,205-433-9811,205-396-3686,asitton7@gmail.com
@Homes Birmingham,100 Providence Main St Ste B,Huntsville,AL,35806,256-585-6000,256-217-4073,nick@nicktpappas.com
A Prime Location Real Estate,"201 Beacon Pkwy West, Ste 202",Birmingham,AL,35209,205-942-8354,205-942-8357,Jessyca@APrimeLocation.pro
"Appraisal West, LLC",211 Oak Street,Bremen,GA,30110,770-537-6361,770-537-9472,appraisalwest@birch.net
Appraisal Services,490 Forest Hills Drive,Childersburg,AL,35044,256-378-0224,877-251-8550,sharoncraft@mindspring.com
"A P Real Estate, LLC",P O Box 715,Jacksonville,AL,36265,256-435-1771,256-435-1779,realestatebyap@aol.com
A Plus Real Estate Inc.,201 Main Avenue NW,Cullman,AL,35055,256-734-3434,888-251-8899,info@aplusrealestate.com
A Plus Appraisal,3475 County Road 82,Lineville,AL,36266,256-363-1166,,darelene@aplusalabama.com
"Apex Realty Services, LLC","201 Beacon Pkwy, Suite 102",Birmingham,AL,35209,205-568-8775,,apexrealtyservices@gmail.com
Apex Realty,160 Yeager Parkway Suite 106,Pelham,AL,35124,205-612-6845,205-664-2211,patrick@apexrealtyal.com
"Anytime Appraisals, LLC",1106 Maxanna Dr,Anniston,AL,36206,256-405-5284,,anytimeappraisalsllc@gmail.com
Advantage Real Estate,401 5th st sw,Cullman,AL,35055,256-339-3360,,jasonchandler2@yahoo.com
Advance One Real Estate,1205 17th Street S.W.,Childersburg,AL,35044,256-872-6303,256-346-3573,conniepjoiner@gmail.com
Advantage Properties,124 Court Street Ste 104,Gadsden,AL,35901,256-952-2391,888-822-7434,sydneygunter@comcast.net
Advanced Realty,"2820 Columbiana Road, #210-G",Birmingham,AL,35216,205-824-9490,205-733-6128,Dave.Allen@Advanced-Realty.co
"Adams Homes, LLC",266-A Yeager Parkway,Pelham,AL,35124,205-620-1173,205-620-6044,lbaylorrealtor@gmail.com
Adair Land Company,215 County Road 68,Clanton,AL,35045,205-824-3515,,adairland@aol.com
"Acton Realty, LLC",4898 Valleydale Rd Ste A4,Birmingham,AL,35244,205-991-5009,205-408-7914,dabc.david@gmail.com
AccountTech,574 Boston Road Ste 8,Billerica,MA,01821,978-947-3600,,adam@accounttech.com
Atrium Real Estate and Propert,"2070 Valleydale Rd Ste 5A, Ste: 5A",Hoover,AL,35244,205-978-1600,855-420-6375,amy@atriumre.com
ACCESS REALTY,1516 Centerpoint Pkwy Ste 105,BIRMINGHAM,AL,35215,205-833-6300,205-833-3350,mikefirst1@aol.com
"Atlas Valuation, LLC","2202 Gateway Dr., Ste, D",Opelika,AL,36801,334-737-6993,334-737-6996,admin@atlasvaluation.com
Atlas Property Services,"301 Beacon Pkwy W, Ste 140",Birmingham,AL,35209,205-703-9802,866-981-2047,mlaforty@ymail.com
AT Brokers LLC - Ohio,4170 Nichols Lane,Johnstown,OH,43031,800-494-1409,800-494-1409,kimberlee@atbnj.com
Atkinson & Holt LLC,"4845 Industry Lane, Suite A",Durham,NC,27713,919-283-2673,,ahb@atkinsonholt.com
"Atkinson Real Estate, LLC",535 North Broadway Ave.,Sylacauga,AL,35150,256-245-6782,256-245-1444,atkinsonrealestate@yahoo.com
Assured Realty Company,"200 GLEN EAGLES CT., SUITE A/B",Carrollton,GA,30117,770-838-9610,866-580-4689,stanleydunson@gmail.com
"Aspire Realty, Inc.","2700 Corporate Dr, Suite 200",Birmingham,AL,35242,205-378-9006,,Harold@aspirerealty.com
Ascend Web Strategy,1950 Stonegate Drive,Vestavia Hills,AL,35242,205-203-9101,,concierge@ascendwebstrategy.com
Art House Creative LLC,2810 Crescent Avenue,Homewood,AL,35209,205-352-7742,,rhale@arthousecreativemarketing.com
Andrew J Bone Real Estate Grou,1747 Reese Street,Homewood,AL,35209,205-531-5577,,andrewbone2426@yahoo.com
America's Realty Johns Creek,179 E Main St,Prattville,AL,36067,404-718-9126,,jared@americasreatly.com
Amerisell Realty,210 W Tuscaloosa St,Florence,AL,35630,256-627-7168,256-344-8080,amerisell.realty@gmail.com
American Realty Company,1132 Snow Street,Oxford,AL,36203,256-832-9933,,americanrealty@aol.com
American Real Estate,"PO BOX 116, 412 B South 3rd Street",Gadsden,AL,35902,256-543-1747,256-543-1751,amreaest@bellsouth.net
American Hometown Realty LLC,129 Head Ave,Tallapoosa,GA,30176,770-574-9040,770-574-9312,twelch41@gmail.com
Alpha And Omega Realty LLC,4705 OLD MULGA LOOP RD,Birmingham,AL,35224,205-777-2188,205-680-6511,dr.dexthen@gmail.com
"Allsouth Realty, Inc",1705 1st Street NW,Birmingham,AL,35215,205-856-5601,,kpierce@kpierce.us
All South Realty,265 A West Valley Ave,Birmingham,AL,35209,205-942-5306,205-942-5351,dannysellshouses@gmail.com
"All South Properties, INC",265 West Valley Ave. Ste. A,Birmingham,AL,35209,205-942-5306,,allsouthp@gmail.com
Alabama Realty Brokers West,312 Crawford Street,Fairfield,AL,35064,205-637-4822,205-637-4829,greg@gregwalk.com
"Alabama Realty Brokers, LLC-CP",1516 Centerpoint Parkway,Birmingham,AL,35215,205-854-7653,205-854-6911,haleemsold2@aol.com
"Alabama Realty Brokers, LLC",1275 Center Point Parkway Ste,Birmingham,AL,35215,205-854-2155,205-853-3159,roderickkathy@msn.com
Alabama Realty Brokers III,2459 Old Springville Road,Birmingham,AL,35215,205-854-8484,205-854-1101,harriseckj@aol.com
"Alabama Real Estate, Inc.",401 Canyon Park Drive,Pelham,AL,35124,205-620-1048,205-620-1053,alreales@bellsouth.net
"Alabama Land & Timber, Inc",3150 Grist Mill Road,Alpine,AL,35014,256-589-2370,,jaygib60@hotmail.com
"AgentJet, Inc.","555 Briarwood Cir, Ste 115",Ann Arbor,MI,48108,800-941-9008,,candice@agentjet.com
Alabama Classic Realty,5511 HWY 280 STE 116,Birmingham,AL,35242,205-443-3592,205-443-3591,email@stevenwhitten.com
AHI Properties,8841 Helena Road,Pelham,AL,35124,205-682-9106,205-985-9910,pbarnes@ahiproperties.com
A.G. Callins & Associates,611 19th Street,Birmingham,AL,35218,205-903-4677,205-836-0098,agcallins@hotmail.com
"Aronov Realty Brokerage, Inc. - LM",6928 Highway 49 South,Dadeville,AL,36853,256-825-4033,,virginia.pettus@aronov.com
Ark Real Estate Strategies,"4274 Cahaba Heights Court, Suite 240",Birmingham,AL,35243,205-776-8860,,tbrigham@arkrealestatestrategies.com
"Area Real Estate, Inc.",1102 W. Ft. Williams Street,Sylacauga,AL,35150,256-249-3727,256-249-9007,billpharr1@gmail.com
ARC Realty - Shelby,4274 Cahaba Heights Ct Ste 200,Birmingham,AL,35243,205-969-8910,,janetshamm@gmail.com
ARC Realty Inverness,5291 Valleydale Road,Birmingham,AL,35242,205-969-8910,205-383-1803,marielawrence13@gmail.com
ARC Realty - Hoover,"5336 Stadium Trace Parkway, St",Hoover,AL,35244,205-969-8910,,info@arcrealtyco.com
"Arcara Residential, LLC",771 Second Street,Helena,AL,35080,205-560-0474,205-560-0407,greg@arcarahomes.com
ARC Realty Gallery Brokers,2718 Cahaba Road,Mountain Brook,AL,35223,205-969-8910,,info@arcrealtyco.com
ARC Realty,4274 Cahaba Heights Ct Ste 200,Birmingham,AL,35243,205-969-8910,205-969-8890,bbevis@arcrealtyco.com
Dream Realty Company,205- 20th Street N Suite 217,Birmingham,AL,35203,205-201-4167,,dreamrk1@yahoo.com
"Dream Home Realty, Inc.",204 Griffin Park Dr,Birmingham,AL,35242,205-848-2005,205-677-0061,info@dreamhomealabama.com
Eddleman Realty LLC,"2700 Hwy 280 S, Ste 425 W",Birmingham,AL,35223,205-871-9755,205-871-7548,tanya@eddleman.com
"Ebsco Industries, Inc.","1 Mt Laurel Ave, Suite 200",Birmingham,AL,35242,205-329-1182,205-408-8906,bknapp@ebsco.com
"Ebsco Development Co., Inc.",5 Mt Laurel Avenue,Birmingham,AL,35242,205-408-8696,205-408-8991,bknapp@ebsco.com
"Expert, Inc.",20 Main Street South,Wedowee,AL,36278,256-357-0357,,dewanasmith@yahoo.com
"Expert Realty, Inc","3081 Lorna Road, Ste 102",Birmingham,AL,35216,205-823-2200,205-823-2299,EddyHarrisRE@gmail.com
"Foxfield, Inc.",1420 Northbrook Drive,Gardendale,AL,35071,205-439-4681,205-439-4682,mandywfielding@hotmail.com
Gartman Appraisals,"5330 Stadium Trace Parkway, Suite. 110",Birmingham,AL,35244,205-402-2121,205-402-2171,gartmenappraisals@gmail.com
