Name,Address,City/State/Zip,office_contract,Phone,Fax,Email,Website
CAPSTONE APPRAISALS,2618 EIGHT STREET,"TUSCALOOSA, AL 35401",,(205) 274-4489,(205) 349-4871,thomas.monk@yahoo.com,www.capstoneappraisalsllc.com
CAPSTONE BANK,2301 UNIVERSITY BLVD,"TUSCALOOSA, AL 35401",,205-469-2318,205-758-5616,ryan.massengale@capstonebankal.com,
CAPSTONE DEVELOPMENT CORP.,"431 OFFICE PARK DR,","MOUNTAIN BROOK, AL 35223",,(205) 414-6400,(205) 414-6405,KCAMPBELL@CAPSTONE-DEV.COM,
CARRIE FITTS REAL ESTATE LLC,2021 8TH Street Suite A,"Tuscaloosa, AL",,205-248-7353,205-632-3340,Carrie@ahousethatfitts.com,
"Carrington Real Estate Services, LLC",10657 Essex Square Blvd,"Fort Meyers, FL 33913",,269-377-8017,,luwrobertsii@gmail.com,
Century 21 Patty Snell & Associates,2001 SKYLAND BLVD. E. SUITE C-3,"TUSCALOOSA, AL 35405",,(205) 553-6858,(205) 553-0408,pdsatc21@aol.com,www.century21pattysnell.com
CERTIFIED VALUATION GROUP,P O BOX 43915,"BIRMINGHAM, AL 35243",,205-623-3495,,CERTIFIEDVALUATIONGROUP@GMAIL.COM,
CLAYBROOK APPRAISALS,13063 OLIVE WOOD RD,"COKER, AL 35452",,(205) 330-1515,205-330-1518,Byron@claybrookappraisal.net,
COCKRELL APPRAISAL SERVICE,12475 LAKEWOOD HILLS DRIVE,"NORTHPORT, AL 35475",,205-330-1515,,,
Colbaugh Realty Group,2477 Valleydale Road Suite 2A,"Hoover, AL 35244",,205-558-9400,,broker@crg2.com,
Colbaugh Realty Group,2477 Valleydale Road Suite 2A,"Hoover, AL 35244",,205-558-9400,,broker@crg2.com,
"COLLEGE CITY REALTY, LLC.",3925 RICE MINE ROAD,"TUSCALOOSA, AL 35406",,205-345-2400,205-345-4071,rdfuhrman@collegecityrealty.com,
CONSUMER REAL ESTATE,"700 23RD STREET E, SUITE B","TUSCALOOSA, AL 35401",,205-391-0364,205-391-0365,crowdersk@bellsouth.net,
CORDER REAL ESTATE,3802 TREVOR S. PHILLIPS AVE.,"TUSCALOOSA, AL 35401",,(205) 750-2485,(205) 750-8998,,
CRIMSON REALTY LLC,2615 6TH STREET,"TUSCALOOSA, AL 35401",,205-752-1450,205-752-4145,crimsonrealty@att.net,
CRS Data,,",",,865-450-5127,,rscruggs@crsdata.com,
D R HORTON,2188 Parkway Lake Drvie,"BIRMINGHAM, AL 35244",,205-822-1611,,rdmccalman@drhorton.com,
DEBORAH BROWN REAL ESTATE AND CONSTRUCTION COMPANY,8720 SANDERS FERRY RD,"TUSCALOOSA, AL 35401",,(205) 345-8404,205-244-9871,dbrown3125@aol.com,
"DELVIEW APPRAISALS, LLC",,"TUSCALOOSA, AL 35403",,(205) 345-4660,(205) 345-4648,HUNDERWOOD54@HOTMAIL.COM,
DEMPSEY REAL ESTATE,"550 GREENSBORO AVE, STE 514","TUSCALOOSA, AL 35403",,(205) 462-3411,,stevenldempsey@comcast.net,
"DMAC, INC.",1055UCP PARKWAY,"NORTHPORT, AL 35476",Don McPhail,205-759-5263,205-759-5264,DMCPHAIL@SEAPPRAISALS.COM,
"DMAC, INC.",1055UCP PARKWAY,"NORTHPORT, AL 35476",Don McPhail,205-759-5263,205-759-5264,DMCPHAIL@SEAPPRAISALS.COM,
"Druid City Appraisals, LLC.",,",",,,,,
Druid City Properties,1901 8th Ave,"Tuscaloosa, AL 35401",,205-409-3260,205-409-3260,richard@druidcityproperties.com,
DSEAYCOM,2810 8th Street,"TUSCALOOSA, AL 35401",,(205) 248-8373,,dseay@dseay.com,
EDMONDS REALTY,10258 HWY 5,"BRENT, AL 35034",,(205) 926-3920,(205) 926-3922,,
ELITE SIGNATURE PROPERTIES,"2220 UNIVERSITY BLVD., STE. 203","TUSCALOOSA, AL 35401",,(205) 343-3534,(205) 633-2773,lemonastacy@aol.com,
ERA KING REAL ESTATE CO. BIRMINGHAM,2700 Rogers Drive Suite 300,"Homewood, AL 35209",Terri Steinert,205-979-2335,,birmingham@eraking.com,
EXP Realty - Tuscaloosa,1470 County Raod 92,"Rogersville, AL 35652",Brent Beavers,888-923-5547,,brent.beavers@exprealty.com,
FIRST SOUTH FARM CREDIT,4210 MCFARLAND BLVD,"NORTHPORT, AL 35476",,205-339-4577,,jreed@firstsouthland.com,
GARRETT REALTY,1614 QUEEN CITY AVE,"TUSCALOOSA, AL 35401",,(205) 345-1233,(205) 345-1235,firstladyg1@aol.com,
Greater Birminghal Homes,459 Main Street,"Trussville, AL 35173",,205-967-6220,,reggie@greaterbirminghamhomes.com,
Greater Birminghal Homes,459 Main Street,"Trussville, AL 35173",,205-967-6220,,reggie@greaterbirminghamhomes.com,
GREEN & COMPANY,,"TUSCALOOSA, AL 35403",,(205) 758-1652,(205) 758-1657,,
"GVI Appraisals, Inc",P. O. BOX 3244,"TUSCALOOSA, AL 35403",,(205) 391-0450,(205) 759-9543,joe@gviappraisals.net,
H. A. EDWARDS INC.,2030 9TH STREET,"TUSCALOOSA, AL 35401",,(205) 345-1440,(205) 345-1445,,
HAMNER REAL ESTATE,1412 UNIVERSITY BLVD,"TUSCALOOSA, AL 35401",JIMMY HAMNER,(205) 345-0654,(205) 345-6807,info@hamnerrealestate.com,www.hamnerrealestate.com
Harwood Real Estate,2108 FOX RIDGE RD,"TUSCALOOSA, AL 35406",,205-752-8484,205-759-5171,,
HAVEN REALTY,P. O. Box 495,"COTTONDALE, AL 35453",,205-534-5352,205-556-9200,HOMEFINDER2000@GMAIL.COM,
HERS REAL ESTATE,114 PEYTON LANE,"MOUNDVILLE, AL 35474",,205-233-1276,205-31-6514,shelleyandoe@mound.net,
HOLDEFER APPRAISAL SERVICES,720 14TH STREET,"TUSCALOOSA, AL 35401",,(205) 759-1026,(205) 409-8690,MHOLDEFER1@COMCAST.NET,
"HOME BUYERS MARKETING II, INC","2100 SOUTHBRIDGE PKWY, STE 650","BIRMINGHAM, AL 35209",,205-612-4578,,,
Home Team Realty,1 Chase Corporate Drive,"Birmingham, AL 35244",,205-249-5112,,bartstanley@hometeamrealty.com,
Home Team Realty,1 Chase Corporate Drive,"Birmingham, AL 35244",,205-249-5112,,bartstanley@hometeamrealty.com,
"HomeLight, INC",100 Chesterfield Business Pkwy #200,"Chesterfield, MO 63005",,480-900-7282,,mls@homelight.com,
HOMESTEAD PROPERTIES,1186 UNIVERSITY WAY,"BRENT, AL 35034",,(205) 926-7755,(205) 926-7756,homeprop@aol.com,
HomeStory Real Estate Services,10657 Essex Square BLVD,"Fort Meyers, FL 33913",,512-524-9335,,brokers@homestory.co,
IDX,,",",,,,,
"Ikard Valuation, LLC",2953 N. HAMPTON DRIVE,"TUSCALOOSA, AL 35406",David Ikard,205-454-9849,,davidikard@gmail.com,
IMS MANAGEMENT,5690 Watermelon Road Ste 400,"Northport, AL 35473",,205-523-0426,,greg@imsmanagement.net,
INSTANET,205 OXFORD STREET EAST,",",,,,joe@instanetsolutions.com,
INSTANET SOLUTIONS,205 OXFORD STREET EAST,",",,,,,
IPROSPER,,",",,(205) 391-0055,,,
JARMAN REALTY,2905 8TH STREET,"TUSCALOOSA, AL 35401",,(205) 344-9997,,jarmanconst@bellsouth.net,
JARMAN REALTY,2905 8TH STREET,"TUSCALOOSA, AL 35401",,(205) 344-9997,,jarmanconst@bellsouth.net,
Judith Haney Certified Appraiser,P O BOX 380911,"BIRMINGHAM, AL 35238",,205-821-0519,,alavalue@hotmail.com,
Keller Williams,"1490 Northbank Parkway, Ste 180","TUSCALOOSA, AL 35406",,205-759-3400,205-561-6979,kathywheeler@kw.com,
Keller Williams Hoover,1021 Brock's Gap Pkwy Ste 125,"Hoover, AL 35244",,205-822-2272,,klrw555@kw.com,
Keller Williams-Vestavia,3595 Grandview Pkwy,"Birmingham, AL 35243",,205-447-7998,,klrw494@kw.com,
"Key Realty Company, LLC.","429 SKYLAND BLVD., SUITE B7","TUSCALOOSA, AL 35405",,205-657-1209,,jtaggart81@yahoo.com,
Kreative Realty LLC,8120 Patriot Parkway N,"Tuscaloosa, AL 35405",Gladys Webb,205-448-4663,,kreativerealty@kreativerealty.net,
Lake Homes Realty,"1605 Martin Street S, Suite 5","Pell City, AL 35128",,205-985-2991,205-682-7656,operations@lakehomes.com,
"Lawrence Sides Appraisals, LLC",1937 STRAWBERY LN,"HOOVER, AL 35244",,(205) 401-4537,(205) 428-9291,lawrencesides@charter.net,
LEE PAKE REALTY,2609 UNIVERSITY BLVD.,"TUSCALOOSA, AL 35401",,(205) 759-1906,(205) 345-5265,leepake@comcast.net,
LEGEND REALTY,"12181 Countyline Road, Suite 180","Madison, AL 35758",,256-325-0376,,legendmadison@comcast.net,
LEGEND REALTY,"12181 Countyline Road, Suite 180","Madison, AL 35758",,256-325-0376,,legendmadison@comcast.net,
List With Freedom,,",",,855-456-4945,,support@listwithfreedom.com,
MAIN STREET REALTY,2310 13th Street,"Tuscaloosa, AL 35401",,(205) 792-2193,(205) 409-7712,cj@cjmckee.com,Main Street Tuscaloosa
"Marketplace Housing, LLC.",11878 WOODVALE CT.,"GREENVILLE, AL 48838",,734-862-4750,248-295-4815,mike.kalis@marketplacehomes.com,
MAYTON APPRAISAL,3402 TALL PINES CIRCLE,"TUSCALOOSA, AL 35405",,205-331-4325,,jimmayton@gmail.com,
MICHAEL JACOBSON REAL EST,"312 HARGROVE RD, E","TUSCALOOSA, AL 35401",,(205) 553-7372,(205) 553-7335,mjrec@aol.com,
Mike McMullen and Associates,2084 Valleydale Road,"Birmingham, AL 35244",,205-949-2098,,mikemcmullen@gmail.com,
Milling Appraisal Company,8673 Hillcrest Drive,"Tuscalosoa, Al 35405",,205-886-6363,,mikemilling@bellsouth.net,
MORROW REALTY COMPANY,809 22ND AVENUE,"TUSCALOOSA, AL 35401",,(205) 759-5781,(205) 391-0031,,
MORT JORDAN REAL ESTATE,2922 7TH STREET,"TUSCALOOSA, AL 35401",,205-345-6611,205-345-6678,MORTJORDAN@AOL.COM,
New Image Realty,"1957 Hoover Ct, Ste 306","Birmingham, AL 35226",,205-444-0886,205-588-0056,tahira.newimagerealty@aol.com,
New Image Realty,"1957 Hoover Ct, Ste 306","Birmingham, AL 35226",,205-444-0886,205-588-0056,tahira.newimagerealty@aol.com,
NONMEMBER OFFICE,,",",,,,,
OUT OF TOWN (NONMEMBER),,",",,(205) 123-4567,,outoftown@nonmember.com,
OWEN MEREDITH & SONS,2615 6TH STREET,"TUSCALOOSA, AL 35401",,(205) 758-3344,(205) 758-3349,owen@meredith.com,
OWNERS.COM,1661 INTERNATIONAL PLACE DRIVE,"MEMPHIS, TN 38120",,(470) 482-6055,,georgia.landry@rhss.com,
PARAMOUNT PROPERTIES,"3120 MCFARLAND BLVD., SUITE 16","NORTHPORT, AL 35476",,205-722-2908,205-722-2909,ParamountTuscaloosa@gmail.com,
PATTON REALTY,"1001 ROSE DRIVE, SUITE A","NORTHPORT, AL 35476",,(205) 345-4888,(205) 345-4844,pattonre@dbtech.net,
POWERHOUSE REALTY LLC,"4244 McFarland Blvd, Unit 1","Northport, AL 35476",,205 454-9247,,phil@powerhouseAL.com,
PRITCHETT MOORE REAL ESTATE,1120 QUEEN CITY AVE,"TUSCALOOSA, AL 35401",Wilson Moore,(205) 349-6500,(205) 349-6567,awhetstone@pritchett-moore.com,www.pritchett-moore.com
PROGRESSIVE REALTY & INVESTMENTS,12855 OLD MARION ROAD,"TUSCLOOSA, AL 35405",,(205) 758-6688,(205) 758-6638,wilsonruffin@hotmail.com,
"Pruett Real Estate Investment, LLC.","601 GREENSBORO AVENUE, SUITE 700","TUSCALOOSA, AL 35401",,205-246-9630,,williamradfordpruett@yahoo.com,
"Pruett Real Estate Investment, LLC.","601 GREENSBORO AVENUE, SUITE 700","TUSCALOOSA, AL 35401",,205-246-9630,,williamradfordpruett@yahoo.com,
PUGH APPRAISAL SERVICES LLC,4058 DALEWOOD STREET,"NORTHPORT, AL 35475",,205-239-1079,,PUGHAPPRAISALS@BELLSOUTH.NET,
"Radiant Homes, LLC",,",",,,,,
RAMSEY REALTY LLC,22579 IRON MASTERS LOOP,"MCCALLA, AL 35111",,205-758-5755,205-758-5756,jerryramsey@bellsouth.net,
RE/MAX ACHIEVERS,1109 21ST AVE. STE B,"TUSCALOOSA, AL 35401",,205-242-7166,,teresadobbs@remax.net,http://www.teresadobbs.com
RE/MAX PREMIERE GROUP,1825 McFarland Blvd. N.,"TUSCALOOSA, AL 35406",KEN OLIVE,(205) 366-1999,(205) 366-1929,premiere225@comcast.net,www.tuscaloosapremieregroup.com
RE/MAX PREMIERE GROUP,1825 McFarland Blvd. N.,"TUSCALOOSA, AL 35406",KEN OLIVE,(205) 366-1999,(205) 366-1929,premiere225@comcast.net,www.tuscaloosapremieregroup.com
RE101,2700 Corporate Drive Ste200,"Birmingham, AL 35242",J REED,205-535-5363,,Reed@RE101.com,www.RE101.com
RealBama,1927 7th Street,"Tuscaloosa, AL 35401",,205-737-2983,,rebekah@realbama.com,
REALTY CONSULTANTS,"429 Skyland Blvd, B5","TUSCALOOSA, AL 35405",,(205) 393-1554,2053931554,cindysales@comcast.net,
REALTY EXECUTIVES,2201 JACK WARNER PKWY,"TUSCALOOSA, 35401",,(205) 758-1040,(205) 758-9936,info@WeSelltuscaloosa.com,www.WeSellTuscaloosa.com
REALTYNET,4000 Eagle Point Corporate Drive #425,"Birmingham, AL 35242",,205-529-8614,,sold@bryanwelch.com,
REALTYNET,4000 Eagle Point Corporate Drive #425,"Birmingham, AL 35242",,205-529-8614,,sold@bryanwelch.com,
RealtySouth Northwest,505 19th Street West,"Jasper, AL 35501",,205-221-9931,,jchamness@realtysouth.com,
REALTYSOUTH-MCCALLA,"4760 EASTERN VALLEY ROAD, SUITE 126","MCCALLA, AL 35111",,205-477-7769,205-445-1569,lshelton@realtysouth.com,
REALTYSOUTH-TUSCALOOSA,500 TOWN CENTER BLVD,"TUSCALOOSA, AL 35406",CINDY DENNEY,(205) 758-3300,(205) 758-9100,rhoward@realtysouth.com,
REBECCA AND COMPANY,21679 HWY216,"MCALLA, AL 35111",,(205)965-3135,,jrebeccataylor@gmail.com,
RED BELL REAL ESTATE,7730 SOUTH UNION PARK AVE,"SANDY, UT 84047",,877-500-1415,801-464-4084,MLS@REDBELLRE.COM,
RED BELL REAL ESTATE,7730 SOUTH UNION PARK AVE,"SANDY, UT 84047",,877-500-1415,801-464-4084,MLS@REDBELLRE.COM,
RICHARD WOOD APPRAISAL SERVICE,P O BOX 427,"HALEYVILLE, AL 35565",,(205) 486-5875,(205) 269-5243,RICHARD526@CENTURYTEL.COM,
Richardson Appraisal Company,13348 KATELAND CIRCLE N,"TUSCALOOSA, AL 35405",,,,russ.tuscaloosaappraisal@gmail.com,
RUSSELL REALTY & DEVELOPMENT,1403 42ND AVE NE,"TUSCALOOSA, AL 35404",,(205) 553-4730,(205) 553-4732,vcade101@gmail.com,www.searchwestalabama.com/cookie
RUTH WHITLEY REALTY,2824 7TH STREET,"TUSCALOOSA, AL 35401",,(205) 242-3054,,,
SADBERRY REAL ESTATE,4440 HARGROVE RD E,"TUSCALOOSA, AL 35405",,(205) 292-9387,205-553-1243,beckysadberry@yahoo.com,
SADBERRY REAL ESTATE,4440 HARGROVE RD E,"TUSCALOOSA, AL 35405",,(205) 292-9387,205-553-1243,beckysadberry@yahoo.com,
SEALY REALTY,1200 Greensboro Avenue,"Tuscaloosa, AL 35401",,(205) 391-6000,(205) 349-4562,,
"SHAMROCK APPRAISALS, INC.",,"TUSCALOOSA, AL 35403",,(205) 391-0881,,,
SHAMROCK PROPERTIES,P.O. Box 280,"Moundville, AL 35474",,205-391-0881,,roscoe@shamrock-appraisals.com,
"SHERRILL APPRAISAL OFFICES, INC.",P O BOX 2693,"TUSCALOOSA, AL 35403",,(205) 752-4536,(205) 752-4537,,
Simplified Appriaisal,"1655 MCFARLAND BLVD., N #156","TUSCALOOSA, AL 35406",,205-765-0905,,dennis@simplifiedappraisal.com,
Simplified Appriaisal,"1655 MCFARLAND BLVD., N #156","TUSCALOOSA, AL 35406",,205-765-0905,,dennis@simplifiedappraisal.com,
SMILES REALTY LLC,4312 69TH AVE,"TUSCALOOSA, AL 35401",,(205) 366-1100,(205) 366-1181,smilesrealtyllc@gmail.com,
"SMITH & SMITH, INC.",408A HARGROVE ROAD EAST,"TUSCALOOSA, AL 35401",,205-345-9700,,jsmith35405@bellsouth.net,
"Solid Earth, Inc",113 CLINTON AVE W,"HUNTSVILLE, AL 35801",,,,,
SOUTHEAST APPRAISALS,,"TUSCALOOSA, AL 35401",,(205) 759-5263,(205) 759-5264,DBURNS@SEAPPRAISALS.COM,
"Southeastern Land Group, INC",16396 Hwy. 280,"Dadeville, AL 36853",,256-496-3500,,dave@selandgroup.com,
"Southeastern Land Group, INC",16396 Hwy. 280,"Dadeville, AL 36853",,256-496-3500,,dave@selandgroup.com,
"Spaces Realty, LLC.","1800 MCFARLAND BLVD., E, STE 341","TUSCALOOSA, AL 35404",,205-394-4286,,andy@spacesmanagement.com,
"SPARTAN REALTY, LLC.",2015 3rd Ave N,"BIRMINGHAM, AL 35203",,205-202-4117,,jcheese@spartaninvest.com,
"Spectrum Realty, LLC",925 Beach Club Trail,"Gulf Shores, AL 36542",,251-970-7241,,astehmeyer@spectrumrealtyal.com,
"Spiller Appraisal Service, LLC",7528 OLD GREENSBORO ROAD,"TUSCALOOSA, AL 35405",,(205) 345-2003,,jrspiller@bellsouth.net,
STEPHENS APPRAISAL SERVICE,12170 STEPHEN MTN. ROAD,"NORTHPORT, AL 35475",,(205) 330-1333,(205) 330-1333,tstephens332@yahoo.com,
STEPHENS APPRAISAL SERVICE,12170 STEPHEN MTN. ROAD,"NORTHPORT, AL 35475",,(205) 330-1333,(205) 330-1333,tstephens332@yahoo.com,
STONE BRIDGE APPRAISAL CO LLC,PO BOX 84,"DEMOPOLIS, AL 36732",,334-341-9955,334-323-5609,RKING15@BELLSOUTH.NET,
"StoneCastle Real Estate, LLC.","3400 35TH AVE, UNIT A","NORTHPORT, AL 35473",,205-799-2656,,stonecastlellc@att.net,
"Superior Realty Group, Inc",2231 Victory Lane Ste 410,"Vestavia Hills, AL 35216",DEB SIMS,205-902-1699,205-756-4500,debsimsrealtor@gmail.com,
"Sweet Homes Alabama, LLC.",867 Redmont Drive,"TUSCALOOSA, AL 35404",,205-310-4272,,srystr77@gmail.com,
TAR,2007 PAUL W. BRYANT DRIVE,"TUSCALOOSA, AL 35401",,205.345.7323,205.345.7917,daniel@tuscaloosarealtors.com,
TAR,2007 PAUL W. BRYANT DRIVE,"TUSCALOOSA, AL 35401",,205.345.7323,205.345.7917,daniel@tuscaloosarealtors.com,
TerraVaule Real Estate,"PMB# 278, 3267 Bee Cave Road STE 107","Austin, TX 78746",,512-569-5498,,alabama@terravalue.net,
"The Appraisal & Consultant Group, INC",9082 Independence Ave,"Daphne, AL 36526",,251-338-2260,,acgbud@aol.com,
THE PRATER COMPANY,114 1ST AVE NE,"FAYETTE, AL 35555",,(205) 932-5946,(205) 932-5946,lhumber@watvc.com,
Trammel Realty,1620 Panorama Drive,"Birmingham, AL 35216",,205-966-2948,,casanovaproperties.com,
True North Real Estate,1814 University Blvd.,"TUSCALOOSA, AL 35401",FRED GLAZE,(205) 242-9566,,realtuscaloosa@gmail.com,www.rpsal.com
True North Real Estate,1814 University Blvd.,"TUSCALOOSA, AL 35401",FRED GLAZE,(205) 242-9566,,realtuscaloosa@gmail.com,www.rpsal.com
TRUSTMARK,,",",,601-208-7803,,dloflin@trustmark.com,
TUSCALOOSA APPRAISAL,P O BOX 2644,"TUSXCALOOSA, AL 35403",,(205) 752-8999,205-333-5993,tuscaloosa.appraisal@gmail.com,
TUSCALOOSAREALTY.NET,PO BOX 1447,"TUSCALOOSA, AL 35403",,205-242-7312,205-333-5993,willettjh@aol.com,tuscaloosarealty.net
TUSK REALTY,2001 Skyland Blvd. Ste C-3,"Tuscaloosa, AL 35405",HOLLIE WYATT,205-799-1408,,holliewyatt@gmail.com,
Visions Real Estate,2616 8TH STREET,"TUSCALOOSA, AL 35401",,205-345-1293,,Lenora.h.mckinney@gmail.com,
Visions Real Estate,2616 8TH STREET,"TUSCALOOSA, AL 35401",,205-345-1293,,Lenora.h.mckinney@gmail.com,
WARRIOR REAL ESTATE,4440 Hargrove Road E,"Tuscaloosa, AL 35405",,205-886-6000,205-366-0123,allenbanksre@gmail.com,www.warriorrealestate.net
Weaver Land & Realty,650 Academy Drive,"Bessemer, AL 35022",,205-428-4139,,dale@wlandco.com,
WEST ALABAMA APPRAISALS,717 71ST STREET,"TUSCALOOSA, AL 35405",,(205) 342-2022,(205) 344-5525,,
"WESTERVELT REALTY, INC.",1400 Jack Warner Pkwy,"Tuscaloosa, AL 35404",,(205) 562-5357,(205) 562-5013,,www.westerveltcommunities.com
WHITWORTH REAL ESTATE LLC,1448 22ND AVENUE,"TUSCALOOSA, AL 35401",,(205) 556-2242,(205) 556-2642,michael@whitworthrealestate.net,
WHITWORTH REAL ESTATE LLC,1448 22ND AVENUE,"TUSCALOOSA, AL 35401",,(205) 556-2242,(205) 556-2642,michael@whitworthrealestate.net,
Williamson Realty Group,2626 7th Street,"Tuscaloosa, AL 35401",,205-861-0363,,joshwilliamson.wrg@gmail.com,teamwilliamsonhomes.com
"Xome, Inc.",3040 Independence Dr,"BIRMINGHAM, AL 35209",,205-296-4615,,Brian@reo-group.net,
